Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
509052;Plavsk;Plavsk;Plausk,Plavsk,Plavskiy,Plavskoe,Plavskoye,Plawsk,Pławsk,Sergievskoe,Sergiyevskoye,blafsk,peullabseukeu,plafsk,pu la fu si ke,purafusuku,Плавск,Плавское,Плаўск,Сергиевское,بلافسك,پلافسک,プラフスク,普拉夫斯克,플랍스크;P;PPLA2;RU;Russian Federation;;76;;;;16763;;184;Europe/Moscow;2023-05-11;Russian Federation;53.7084, 37.29457
509104;Platonovka;Platonovka;Platonovka,Платоновка;P;PPL;RU;Russian Federation;;72;;;;3761;;172;Europe/Moscow;2012-01-17;Russian Federation;52.71058, 41.95199
509998;Petrovo-Dal’neye;Petrovo-Dal'neye;Petrovo-Dal'nee,Petrovo-Dal'neye,Petrovo-Dalneje,Petrovo-Dal’neye,Petrovskoye,Petrovskoye-Dal'neye,Petrovskoye-Dal’neye,Петрово-Дальнее;P;PPL;RU;Russian Federation;;47;;;;2850;;141;Europe/Moscow;2020-06-10;Russian Federation;55.74679, 37.17347
510899;Pervomayskiy;Pervomayskiy;Pervomajskij,Pervomayskiy,Verob'yevka,Verob’yevka,Первомайский;P;PPLX;RU;Russian Federation;;76;;;;10885;;239;Europe/Moscow;2012-01-17;Russian Federation;54.04482, 37.50875
511386;Perepravnaya;Perepravnaya;Perepravnaja,Perepravnaya,Переправная;P;PPL;RU;Russian Federation;;38;;;;3186;;414;Europe/Moscow;2012-01-17;Russian Federation;44.3366, 40.7849
511707;Pelagiada;Pelagiada;Palagiada,Pelagiada,Пелагиада;P;PPL;RU;Russian Federation;;70;;;;6871;;330;Europe/Moscow;2012-01-17;Russian Federation;45.20639, 42.02361
512255;Pavelets;Pavelets;Pavelec,Pavelets,Paveletskiy,Павелец;P;PPL;RU;Russian Federation;;62;;;;2152;;206;Europe/Moscow;2012-01-17;Russian Federation;53.78833, 39.24601
513911;Otradnaya;Otradnaya;Otradnaja,Otradnaya,Отрадная;P;PPLA2;RU;Russian Federation;;38;;;;22985;;442;Europe/Moscow;2019-08-26;Russian Federation;44.39333, 41.52056
514744;Orsha;Orsha;Orsa,Orsha,Orsha Pervaya,Orsja,Orsza,Orşa,ao er sha_,awrsha  rwsyh,Орша,اورشا، روسیه,奥尔沙_;P;PPL;RU;Russian Federation;;77;;;;2272;;142;Europe/Moscow;2012-01-17;Russian Federation;56.91196, 36.22862
516215;Odintsovo;Odintsovo;Adzincova,Odincova,Odincovas,Odincovo,Odincowo,Odintovo,Odintsovo,Odinzowo,Odințovo,ao jin zuo wo,awdynstww,awdyntswfw,odinchobo,ojintsuobo,xo din t so wo,Адзінцова,Одинтсово,Одинцово,Одинцово балһсн,أودينتسوفو,اودینتسوفو,اودینستوو,โอดินต์โซโว,オジンツォボ,奧金佐沃,오딘초보;P;PPLA2;RU;Russian Federation;;47;;;;137041;;186;Europe/Moscow;2023-07-11;Russian Federation;55.66977, 37.27716
516256;Ochër;Ocher;Ocher,Ochjor,Ochër,Otsjer,Очер,Очёр;P;PPL;RU;Russian Federation;;90;;;;15395;;163;Asia/Yekaterinburg;2018-08-22;Russian Federation;57.89035, 54.72019
517009;Novyy Karachay;Novyy Karachay;Novo-Karachayevskiy,Novyj Karachaj,Novyj Karatsjaj,Novyy Karachay,Pravoberezhnoye,Новый Карачай;P;PPL;RU;Russian Federation;;27;;;;2172;;829;Europe/Moscow;2012-01-17;Russian Federation;43.82076, 41.90322
517161;Novyye Cherëmushki;Novyye Cheremushki;Novye Cherjomushki,Novyye Cheremushki,Novyye Cherëmushki,Новые Черёмушки;P;PPLX;RU;Russian Federation;;48;;;;101000;;160;Europe/Moscow;2013-04-02;Russian Federation;55.7, 37.58333
518912;Novodugino;Novodugino;Novodugino,Novoduginskaya,Новодугино;P;PPLA2;RU;Russian Federation;;69;;;;3894;;232;Europe/Moscow;2023-02-10;Russian Federation;55.63275, 34.2963
